time,load_shortfall_3h
2018-01-01 00:00:00,8611.810000000001
2018-01-01 03:00:00,2929.7100000000046
2018-01-01 06:00:00,945.846666666666
2018-01-01 09:00:00,3283.2433333333365
2018-01-01 12:00:00,3571.7500000000023
2018-01-01 15:00:00,4316.3633333333355
2018-01-01 18:00:00,4520.10666666667
2018-01-01 21:00:00,5584.146666666667
2018-01-02 00:00:00,9193.009999999995
2018-01-02 03:00:00,5019.953333333336
2018-01-02 06:00:00,5156.516666666666
2018-01-02 09:00:00,9376.316666666671
2018-01-02 12:00:00,9608.246666666671
2018-01-02 15:00:00,10273.12000000001
2018-01-02 18:00:00,9997.776666666674
2018-01-02 21:00:00,10260.723333333335
2018-01-03 00:00:00,10279.21
2018-01-03 03:00:00,5200.486666666667
2018-01-03 06:00:00,4923.783333333337
2018-01-03 09:00:00,7781.510000000001
2018-01-03 12:00:00,6937.399999999995
2018-01-03 15:00:00,6262.65333333333
2018-01-03 18:00:00,6092.983333333332
2018-01-03 21:00:00,7099.346666666665
2018-01-04 00:00:00,8733.769999999997
2018-01-04 03:00:00,5950.206666666665
2018-01-04 06:00:00,5040.176666666667
2018-01-04 09:00:00,6620.713333333335
2018-01-04 12:00:00,6527.896666666662
2018-01-04 15:00:00,6283.526666666663
2018-01-04 18:00:00,5352.71666666667
2018-01-04 21:00:00,5092.186666666668
2018-01-05 00:00:00,9101.696666666665
2018-01-05 03:00:00,6037.966666666669
2018-01-05 06:00:00,4508.386666666668
2018-01-05 09:00:00,6194.25333333334
2018-01-05 12:00:00,6608.383333333342
2018-01-05 15:00:00,6496.630000000014
2018-01-05 18:00:00,6312.420000000007
2018-01-05 21:00:00,6352.330000000007
2018-01-06 00:00:00,9502.460000000006
2018-01-06 03:00:00,6451.8366666666725
2018-01-06 06:00:00,5975.843333333335
2018-01-06 09:00:00,6854.0999999999985
2018-01-06 12:00:00,7623.656666666663
2018-01-06 15:00:00,7336.599999999993
2018-01-06 18:00:00,7570.929999999996
2018-01-06 21:00:00,6908.886666666663
2018-01-07 00:00:00,7946.740000000007
2018-01-07 03:00:00,6621.199999999996
2018-01-07 06:00:00,6332.390000000002
2018-01-07 09:00:00,6622.463333333334
2018-01-07 12:00:00,7895.2099999999955
2018-01-07 15:00:00,8274.243333333336
2018-01-07 18:00:00,8504.98666666667
2018-01-07 21:00:00,8798.873333333335
2018-01-08 00:00:00,9989.526666666665
2018-01-08 03:00:00,8504.809999999998
2018-01-08 06:00:00,8096.966666666663
2018-01-08 09:00:00,11480.95333333334
2018-01-08 12:00:00,12964.299999999997
2018-01-08 15:00:00,13892.93333333333
2018-01-08 18:00:00,13028.046666666667
2018-01-08 21:00:00,13383.610000000008
2018-01-09 00:00:00,13564.14666666666
2018-01-09 03:00:00,8071.389999999993
2018-01-09 06:00:00,7060.493333333326
2018-01-09 09:00:00,11263.993333333337
2018-01-09 12:00:00,14289.16666666667
2018-01-09 15:00:00,14223.223333333326
2018-01-09 18:00:00,13816.436666666661
2018-01-09 21:00:00,14730.37666666666
2018-01-10 00:00:00,12765.383333333335
2018-01-10 03:00:00,8641.656666666659
2018-01-10 06:00:00,6618.486666666656
2018-01-10 09:00:00,12281.200000000006
2018-01-10 12:00:00,13189.913333333341
2018-01-10 15:00:00,11760.48
2018-01-10 18:00:00,11231.213333333335
2018-01-10 21:00:00,12637.006666666664
2018-01-11 00:00:00,12591.120000000003
2018-01-11 03:00:00,7052.489999999998
2018-01-11 06:00:00,6908.163333333326
2018-01-11 09:00:00,12041.186666666677
2018-01-11 12:00:00,12762.130000000003
2018-01-11 15:00:00,10855.280000000006
2018-01-11 18:00:00,10481.826666666664
2018-01-11 21:00:00,14239.760000000007
2018-01-12 00:00:00,11728.28333333334
2018-01-12 03:00:00,7598.209999999999
2018-01-12 06:00:00,6387.756666666666
2018-01-12 09:00:00,13165.286666666672
2018-01-12 12:00:00,15275.804999999995
2018-01-12 15:00:00,14587.709999999988
2018-01-12 18:00:00,14703.186666666665
2018-01-12 21:00:00,15406.686666666656
2018-01-13 00:00:00,13290.753333333334
2018-01-13 03:00:00,7974.350000000005
2018-01-13 06:00:00,7110.199999999998
2018-01-13 09:00:00,8574.109999999999
2018-01-13 12:00:00,10017.823333333334
2018-01-13 15:00:00,10741.483333333344
2018-01-13 18:00:00,9988.29
2018-01-13 21:00:00,8743.193333333336
2018-01-14 00:00:00,9364.843333333338
2018-01-14 03:00:00,6615.933333333336
2018-01-14 06:00:00,5423.683333333337
2018-01-14 09:00:00,6229.416666666669
2018-01-14 12:00:00,6165.666666666668
2018-01-14 15:00:00,6803.4766666666665
2018-01-14 18:00:00,7745.483333333342
2018-01-14 21:00:00,8300.936666666661
2018-01-15 00:00:00,11159.883333333333
2018-01-15 03:00:00,6895.840000000002
2018-01-15 06:00:00,5669.849999999997
2018-01-15 09:00:00,12099.456666666674
2018-01-15 12:00:00,13880.793333333328
2018-01-15 15:00:00,13752.196666666663
2018-01-15 18:00:00,12698.656666666662
2018-01-15 21:00:00,14034.24666666666
2018-01-16 00:00:00,13525.966666666653
2018-01-16 03:00:00,6397.789999999997
2018-01-16 06:00:00,4937.949999999996
2018-01-16 09:00:00,11822.530000000012
2018-01-16 12:00:00,14106.594999999996
2018-01-16 15:00:00,13711.138333333325
2018-01-16 18:00:00,13883.11
2018-01-16 21:00:00,13626.333333333332
2018-01-17 00:00:00,12342.879999999988
2018-01-17 03:00:00,4492.623333333334
2018-01-17 06:00:00,4616.469999999998
2018-01-17 09:00:00,12420.71000000001
2018-01-17 12:00:00,12615.598333333337
2018-01-17 15:00:00,12758.375
2018-01-17 18:00:00,12882.240000000007
2018-01-17 21:00:00,15570.790000000003
2018-01-18 00:00:00,13817.846666666663
2018-01-18 03:00:00,6560.8299999999945
2018-01-18 06:00:00,4199.416666666662
2018-01-18 09:00:00,12018.470000000005
2018-01-18 12:00:00,15197.633333333333
2018-01-18 15:00:00,15144.766666666654
2018-01-18 18:00:00,14114.661666666665
2018-01-18 21:00:00,16244.24
2018-01-19 00:00:00,14627.56166666667
2018-01-19 03:00:00,7194.036666666663
2018-01-19 06:00:00,4854.193333333333
2018-01-19 09:00:00,11694.980000000007
2018-01-19 12:00:00,13541.395000000013
2018-01-19 15:00:00,12830.208333333336
2018-01-19 18:00:00,13103.933333333334
2018-01-19 21:00:00,13420.523333333324
2018-01-20 00:00:00,10718.896666666675
2018-01-20 03:00:00,7364.696666666664
2018-01-20 06:00:00,5553.509999999998
2018-01-20 09:00:00,7427.846666666676
2018-01-20 12:00:00,9325.073333333334
2018-01-20 15:00:00,8035.4299999999985
2018-01-20 18:00:00,8440.196666666672
2018-01-20 21:00:00,9329.890000000014
2018-01-21 00:00:00,8521.426666666668
2018-01-21 03:00:00,4895.153333333336
2018-01-21 06:00:00,4928.27
2018-01-21 09:00:00,5904.403333333332
2018-01-21 12:00:00,5176.603333333327
2018-01-21 15:00:00,5416.14333333333
2018-01-21 18:00:00,5809.124999999997
2018-01-21 21:00:00,7825.071666666669
2018-01-22 00:00:00,11039.019999999984
2018-01-22 03:00:00,6902.533333333334
2018-01-22 06:00:00,5832.239999999996
2018-01-22 09:00:00,12340.190000000004
